week,number,title,difficulty,topic,estimated_time,url
1,51,Course Schedule,Medium,Graph,30 mins,https://leetcode.com/problems/course-schedule/
1,52,Implement Trie (Prefix Tree),Medium,Trie,35 mins,https://leetcode.com/problems/implement-trie-prefix-tree/
1,53,Coin Change,Medium,Dynamic Programming,25 mins,https://leetcode.com/problems/coin-change/
1,54,Product of Array Except Self,Medium,Array,30 mins,https://leetcode.com/problems/product-of-array-except-self/
1,55,Min Stack,Medium,Stack,20 mins,https://leetcode.com/problems/min-stack/
1,56,Validate Binary Search Tree,Medium,Binary Search Tree,20 mins,https://leetcode.com/problems/validate-binary-search-tree/
1,57,Number of Islands,Medium,Graph,25 mins,https://leetcode.com/problems/number-of-islands/
1,58,Rotting Oranges,Medium,Graph,30 mins,https://leetcode.com/problems/rotting-oranges/
2,1,Search in Rotated Sorted Array,Medium,Binary Search,30 mins,https://leetcode.com/problems/search-in-rotated-sorted-array/
2,2,Combination Sum,Medium,Array,30 mins,https://leetcode.com/problems/combination-sum/
2,3,Permutations,Medium,Recursion,30 mins,https://leetcode.com/problems/permutations/
2,4,Merge Intervals,Medium,Array,30 mins,https://leetcode.com/problems/merge-intervals/
2,5,Lowest Common Ancestor of a Binary Tree,Medium,Binary Tree,25 mins,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
2,6,Time Based Key-Value Store,Medium,Binary Search,35 mins,https://leetcode.com/problems/time-based-key-value-store/
2,7,Accounts Merge,Medium,Graph,30 mins,https://leetcode.com/problems/accounts-merge/
2,8,Sort Colors,Medium,Array,25 mins,https://leetcode.com/problems/sort-colors/
2,9,Word Break,Medium,Trie,30 mins,https://leetcode.com/problems/word-break/
2,10,Partition Equal Subset Sum,Medium,Dynamic Programming,30 mins,https://leetcode.com/problems/partition-equal-subset-sum/
2,11,String to Integer (atoi),Medium,String,25 mins,https://leetcode.com/problems/string-to-integer-atoi/
2,12,Spiral Matrix,Medium,Matrix,25 mins,https://leetcode.com/problems/spiral-matrix/
2,13,Subsets,Medium,Recursion,30 mins,https://leetcode.com/problems/subsets/
2,14,Binary Tree Right Side View,Medium,Binary Tree,20 mins,https://leetcode.com/problems/binary-tree-right-side-view/
2,15,Longest Palindromic Substring,Medium,String,25 mins,https://leetcode.com/problems/longest-palindromic-substring/
2,16,Unique Paths,Medium,Dynamic Programming,20 mins,https://leetcode.com/problems/unique-paths/
2,17,Construct Binary Tree from Preorder and Inorder Traversal,Medium,Binary Tree,25 mins,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
2,18,Container With Most Water,Medium,Array,35 mins,https://leetcode.com/problems/container-with-most-water/
2,19,Letter Combinations of a Phone Number,Medium,Recursion,30 mins,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
2,20,Word Search,Medium,Graph,30 mins,https://leetcode.com/problems/word-search/
2,21,Find All Anagrams in a String,Medium,String,30 mins,https://leetcode.com/problems/find-all-anagrams-in-a-string/
2,22,Minimum Height Trees,Medium,Graph,30 mins,https://leetcode.com/problems/minimum-height-trees/
2,23,Task Scheduler,Medium,Heap,35 mins,https://leetcode.com/problems/task-scheduler/
2,24,LRU Cache,Medium,Linked List,30 mins,https://leetcode.com/problems/lru-cache/
2,25,Kth Smallest Element in a BST,Medium,Binary Search Tree,25 mins,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
2,26,Daily Temperatures,Medium,Stack,30 mins,https://leetcode.com/problems/daily-temperatures/
2,27,House Robber,Medium,Dynamic Programming,25 mins,https://leetcode.com/problems/house-robber/
2,28,Gas Station,Medium,Array,30 mins,https://leetcode.com/problems/gas-station/
2,29,Next Permutation,Medium,Recursion,30 mins,https://leetcode.com/problems/next-permutation/
2,30,Valid Sudoku,Medium,Matrix,35 mins,https://leetcode.com/problems/valid-sudoku/
2,31,Group Anagrams,Medium,String,25 mins,https://leetcode.com/problems/group-anagrams/
2,32,Maximum Product Subarray,Medium,Dynamic Programming,30 mins,https://leetcode.com/problems/maximum-product-subarray/
2,33,Design Add and Search Words Data Structure,Medium,Trie,35 mins,https://leetcode.com/problems/design-add-and-search-words-data-structure/
2,34,Pacific Atlantic Water Flow,Medium,Graph,30 mins,https://leetcode.com/problems/pacific-atlantic-water-flow/
2,35,Remove Nth Node From End of List,Medium,Linked List,20 mins,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
2,36,Shortest Path to Get Food,Medium,Graph,30 mins,https://leetcode.com/problems/shortest-path-to-get-food/
2,37,Find the Duplicate Number,Medium,Binary,20 mins,https://leetcode.com/problems/find-the-duplicate-number/
2,38,Top K Frequent Words,Medium,Heap,30 mins,https://leetcode.com/problems/top-k-frequent-words/
2,39,Longest Increasing Subsequence,Medium,Dynamic Programming,30 mins,https://leetcode.com/problems/longest-increasing-subsequence/
2,40,Graph Valid Tree,Medium,Graph,30 mins,https://leetcode.com/problems/graph-valid-tree/
2,41,Course Schedule II,Medium,Graph,35 mins,https://leetcode.com/problems/course-schedule-ii/
2,42,Swap Nodes in Pairs,Medium,Linked List,25 mins,https://leetcode.com/problems/swap-nodes-in-pairs/
3,1,Path Sum II,Medium,Binary Tree,25 mins,https://leetcode.com/problems/path-sum-ii/
3,2,Longest Consecutive Sequence,Medium,Array,30 mins,https://leetcode.com/problems/longest-consecutive-sequence/
3,3,Rotate Array,Medium,Array,25 mins,https://leetcode.com/problems/rotate-array/
3,4,Odd Even Linked List,Medium,Linked List,25 mins,https://leetcode.com/problems/odd-even-linked-list/
3,5,Decode String,Medium,Stack,30 mins,https://leetcode.com/problems/decode-string/
3,6,Contiguous Array,Medium,Array,30 mins,https://leetcode.com/problems/contiguous-array/
3,7,Maximum Width of Binary Tree,Medium,Binary Tree,20 mins,https://leetcode.com/problems/maximum-width-of-binary-tree/
3,8,Find K Closest Elements,Medium,Heap,30 mins,https://leetcode.com/problems/find-k-closest-elements/
3,9,Longest Repeating Character Replacement,Medium,String,30 mins,https://leetcode.com/problems/longest-repeating-character-replacement/
3,10,Inorder Successor in BST,Medium,Binary Search Tree,30 mins,https://leetcode.com/problems/inorder-successor-in-bst/
3,11,Jump Game,Medium,Dynamic Programming,20 mins,https://leetcode.com/problems/jump-game/
3,12,Add Two Numbers,Medium,Linked List,25 mins,https://leetcode.com/problems/add-two-numbers/
3,13,Generate Parentheses,Medium,Recursion,25 mins,https://leetcode.com/problems/generate-parentheses/
3,14,Sort List,Medium,Linked List,25 mins,https://leetcode.com/problems/sort-list/
3,15,Number of Connected Components in an Undirected Graph,Medium,Graph,30 mins,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
3,16,Minimum Knight Moves,Medium,Graph,35 mins,https://leetcode.com/problems/minimum-knight-moves/
3,17,Subarray Sum Equals K,Medium,Array,35 mins,https://leetcode.com/problems/subarray-sum-equals-k/
3,18,Asteroid Collision,Medium,Stack,30 mins,https://leetcode.com/problems/asteroid-collision/
3,19,Random Pick with Weight,Medium,Math,25 mins,https://leetcode.com/problems/random-pick-with-weight/
3,20,Kth Largest Element in an Array,Medium,Heap,30 mins,https://leetcode.com/problems/kth-largest-element-in-an-array/
3,21,Maximal Square,Medium,Dynamic Programming,30 mins,https://leetcode.com/problems/maximal-square/
3,22,Rotate Image,Medium,Matrix,25 mins,https://leetcode.com/problems/rotate-image/
3,23,Binary Tree Zigzag Level Order Traversal,Medium,Binary Tree,25 mins,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
3,24,Design Hit Counter,Medium,Queue,30 mins,https://leetcode.com/problems/design-hit-counter/
3,25,Path Sum III,Medium,Binary Tree,35 mins,https://leetcode.com/problems/path-sum-iii/
3,26,"Pow(x,n)", Medium,Math,20 mins,https://leetcode.com/problems/powx-n/
3,27,Search a 2D Matrix,Medium,Binary Search,30 mins,https://leetcode.com/problems/search-a-2d-matrix/
3,28,Largest Number,Medium,String,20 mins,https://leetcode.com/problems/largest-number/
3,29,Decode Ways,Medium,Dynamic Programming,25 mins,https://leetcode.com/problems/decode-ways/
3,30,Meeting Rooms II,Medium,Array,30 mins,https://leetcode.com/problems/meeting-rooms-ii/
3,31,Reverse Integer,Medium,Math,25 mins,https://leetcode.com/problems/reverse-integer/
3,32,Set Matrix Zeroes,Medium,Matrix,25 mins,https://leetcode.com/problems/set-matrix-zeroes/
3,33,Reorder List,Medium,Linked List,25 mins,https://leetcode.com/problems/reorder-list/
3,34,Encode and Decode Strings,Medium,String,25 mins,https://leetcode.com/problems/encode-and-decode-strings/
3,35,Cheapest Flights Within K Stops,Medium,Graph,45 mins,https://leetcode.com/problems/cheapest-flights-within-k-stops/
3,36,All Nodes Distance K in Binary Tree,Medium,Binary Tree,25 mins,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/
3,37,3Sum Closest,Medium,Array,30 mins,https://leetcode.com/problems/3sum-closest/
3,38,Rotate List,Medium,Linked List,25 mins,https://leetcode.com/problems/rotate-list/
3,39,Find Minimum in Rotated Sorted Array,Medium,Binary Search,30 mins,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
3,40,Basic Calculator II,Medium,Stack,30 mins,https://leetcode.com/problems/basic-calculator-ii/
3,41,Combination Sum IV,Medium,Dynamic Programming,35 mins,https://leetcode.com/problems/combination-sum-iv/
3,42,Insert Delete GetRandom O(1),Medium,Hash Table,20 mins,https://leetcode.com/problems/insert-delete-getrandom-o1/
3,43,Non-overlapping Intervals,Medium,Array,20 mins,https://leetcode.com/problems/non-overlapping-intervals/
3,44,Minimum Window Substring,Hard,String,30 mins,https://leetcode.com/problems/minimum-window-substring/
4,1,Serialize and Deserialize Binary Tree,Hard,Binary Tree,40 mins,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
4,2,Trapping Rain Water,Hard,Stack,35 mins,https://leetcode.com/problems/trapping-rain-water/
4,3,Find Median from Data Stream,Hard,Heap,30 mins,https://leetcode.com/problems/find-median-from-data-stream/
4,4,Word Ladder,Hard,Graph,45 mins,https://leetcode.com/problems/word-ladder/
4,5,Basic Calculator,Hard,Stack,40 mins,https://leetcode.com/problems/basic-calculator/
4,6,Maximum Profit in Job Scheduling,Hard,Binary Search,45 mins,https://leetcode.com/problems/maximum-profit-in-job-scheduling/
4,7,Merge k Sorted Lists,Hard,Heap,30 mins,https://leetcode.com/problems/merge-k-sorted-lists/
4,8,Largest Rectangle in Histogram,Hard,Stack,35 mins,https://leetcode.com/problems/largest-rectangle-in-histogram/
4,9,Binary Tree Maximum Path Sum,Hard,Binary Tree,35 mins,https://leetcode.com/problems/binary-tree-maximum-path-sum/
4,10,Maximum Frequency Stack,Hard,Stack,40 mins,https://leetcode.com/problems/maximum-frequency-stack/
4,11,Median of Two Sorted Arrays,Hard,Binary Search,40 mins,https://leetcode.com/problems/median-of-two-sorted-arrays/
4,12,Longest Increasing Path in a Matrix,Hard,Graph,40 mins,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/
4,13,Longest Valid Parentheses,Hard,Stack,35 mins,https://leetcode.com/problems/longest-valid-parentheses/
4,14,Design In-Memory File System,Hard,Trie,40 mins,https://leetcode.com/problems/design-in-memory-file-system/
4,15,Employee Free Time,Hard,Array,35 mins,https://leetcode.com/problems/employee-free-time/
4,16,Word Search II,Hard,Graph,40 mins,https://leetcode.com/problems/word-search-ii/
4,17,Alien Dictionary,Hard,Graph,45 mins,https://leetcode.com/problems/alien-dictionary/
4,18,Bus Routes,Hard,Graph,45 mins,https://leetcode.com/problems/bus-routes/
4,19,Sliding Window Maximum,Hard,Array,35 mins,https://leetcode.com/problems/sliding-window-maximum/
4,20,Palindrome Pairs,Hard,String,40 mins,https://leetcode.com/problems/palindrome-pairs/
4,21,Reverse Nodes in k-Group,Hard,Linked List,35 mins,https://leetcode.com/problems/reverse-nodes-in-k-group/
4,22,Sudoku Solver,Hard,Matrix,40 mins,https://leetcode.com/problems/sudoku-solver/
4,23,First Missing Positive,Hard,Hash Table,35 mins,https://leetcode.com/problems/first-missing-positive/
4,24,N-Queens,Hard,Recursion,40 mins,https://leetcode.com/problems/n-queens/
4,25,Smallest Range Covering Elements from K Lists,Hard,Heap,40 mins,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/
